Input.name;clip;Answer.Competence;Answer.Engagement;Answer.Persuasiveness;Answer.Global
ALS01;middle;4.285714285714286;3.6000000000000005;3.829787234042554;76.68767956734833
ALS02;middle;4.615384615384615;3.0;4.615384615384615;80.99176912915354
ALS03;middle;4.285714285714286;3.8297872340425534;4.285714285714286;85.54609164420486
ALS04;middle;4.999999999999999;4.615384615384615;4.615384615384615;87.08672321274018
ALS05;middle;4.615384615384615;3.6000000000000005;4.285714285714286;82.85198555956677
ALS06;middle;3.6000000000000005;3.829787234042554;4.090909090909091;75.32962447844228
ALS07;middle;4.090909090909091;3.4615384615384612;4.090909090909091;73.77749278614941
ALS08;middle;3.333333333333333;2.9032258064516134;4.090909090909091;69.75218658892128
ALS09;middle;3.1578947368421053;3.1578947368421053;1.6363636363636365;68.09151113786875
ALS10;middle;3.6000000000000005;3.2727272727272734;3.1578947368421053;79.41176470588235
ALS11;middle;4.090909090909091;3.4615384615384612;4.090909090909091;85.11738957421409
ANT01;middle;1.7647058823529411;1.7142857142857142;3.0;69.78113936272932
ANT02;middle;3.2727272727272734;3.6000000000000005;4.285714285714286;78.56613473278354
BFC01;middle;3.2727272727272734;2.5714285714285716;1.7142857142857142;53.19559847293959
BFC02;middle;4.615384615384615;3.8297872340425534;4.999999999999999;75.19313304721031
BFC03;middle;4.285714285714286;3.2727272727272734;4.285714285714286;72.47469546653271
BFC04;middle;3.272727272727273;3.0;3.1578947368421053;56.316428761415025
BFC05;middle;4.0;3.6000000000000005;3.6000000000000005;86.20569280343717
BFC06;middle;3.6000000000000005;2.7692307692307696;3.1578947368421053;85.46762589928056
BFC07;middle;3.2727272727272734;2.4;3.6000000000000005;47.350440327968414
BFC08;middle;3.8297872340425534;4.285714285714286;4.090909090909091;75.53915143152811
BFC09;middle;3.829787234042554;3.6000000000000005;3.6000000000000005;64.34909148116101
BFC10;middle;1.8000000000000003;1.7142857142857142;1.6363636363636365;41.699284009546545
BOD01;middle;3.8297872340425534;4.285714285714286;3.4615384615384612;79.3221402793033
BOD02;middle;3.829787234042554;3.6000000000000005;4.615384615384615;54.413001912045885
BOD03;middle;3.0;3.1578947368421053;1.7142857142857142;56.75330208777162
BOD04;middle;3.0;3.0;1.6363636363636365;52.94117647058823
BOD05;middle;2.7692307692307696;3.6000000000000005;3.2727272727272734;72.25900773438974
BOD06;middle;4.090909090909091;3.6000000000000005;3.6000000000000005;76.29200068224459
