Input.name;clip;Answer.Competence;Answer.Engagement;Answer.Persuasiveness;Answer.Global
ALS01;full;4.358898943540674;3.696845502136472;4.0;82.72444217601792
ALS02;full;4.358898943540674;3.7859388972001824;4.08248290463863;88.71865643707642
ALS03;full;3.872983346207417;2.943920288775949;3.872983346207417;84.08923831264022
ALS04;full;3.4641016151377544;3.1091263510296048;4.242640687119285;79.18333157931662
ALS05;full;3.872983346207417;3.559026084010437;3.4641016151377544;74.69270379361026
ALS06;full;4.69041575982343;4.08248290463863;4.358898943540674;91.42756695876797
ALS07;full;4.0;4.0;4.358898943540674;72.39244896166082
ALS08;full;4.0;4.0;4.358898943540674;81.22807396460905
ALS09;full;4.69041575982343;4.69041575982343;4.43471156521669;92.97311439335567
ALS10;full;4.358898943540674;4.43471156521669;3.7416573867739413;77.7646020586059
ALS11;full;4.242640687119285;4.242640687119285;4.242640687119285;83.05419917138447
ANT01;full;4.358898943540674;4.08248290463863;4.69041575982343;89.90550594930212
ANT02;full;4.69041575982343;3.872983346207417;4.69041575982343;83.3986410760591
BFC01;full;3.696845502136472;3.366501646120693;3.696845502136472;70.81666470542086
BFC02;full;4.69041575982343;5.0;4.123105625617661;93.50935782048768
BFC03;full;4.69041575982343;4.69041575982343;4.69041575982343;89.4967410952302
BFC04;full;4.08248290463863;4.358898943540674;4.358898943540674;80.01874780324921
BFC05;full;4.43471156521669;3.7859388972001824;4.08248290463863;86.13748699995065
BFC06;full;4.358898943540674;3.1091263510296048;4.08248290463863;76.3588021557873
BFC07;full;4.69041575982343;4.358898943540674;4.358898943540674;89.70693024138845
BFC08;full;4.358898943540674;3.872983346207417;3.7859388972001824;84.61284378469578
BFC09;full;4.358898943540674;4.358898943540674;4.08248290463863;87.07276650403769
BFC10;full;4.242640687119285;3.872983346207417;3.872983346207417;85.56868586112562
BOD01;full;3.559026084010437;3.872983346207417;3.559026084010437;71.9027120489902
BOD02;full;3.696845502136472;4.08248290463863;3.872983346207417;87.1741551913945
BOD03;full;5.0;4.358898943540674;4.69041575982343;90.31057523900509
BOD04;full;4.358898943540674;4.358898943540674;4.08248290463863;80.09369513263825
BOD05;full;4.0;3.696845502136472;3.366501646120693;81.37362390029503
BOD06;full;4.358898943540674;4.08248290463863;4.08248290463863;86.42723336233011
BOD07;full;4.69041575982343;4.69041575982343;4.358898943540674;90.31057523900509
BOD08;full;3.696845502136472;3.366501646120693;3.696845502136472;77.10598766200543
BOD09;full;5.0;4.69041575982343;4.69041575982343;94.17359856491981
BOD10;full;4.08248290463863;4.69041575982343;4.08248290463863;77.91448303535529
BOD11;full;3.559026084010437;3.7859388972001824;3.559026084010437;69.12066743504917
BOD12;full;4.69041575982343;4.69041575982343;3.7416573867739413;90.9065454189081
BOD13;full;3.872983346207417;3.872983346207417;3.872983346207417;73.80153566604605
BOD14;full;4.0;3.4641016151377544;4.358898943540674;84.19026071939675
BOD15;full;4.69041575982343;4.358898943540674;4.358898943540674;90.64583093924765
BOD16;full;3.559026084010437;3.3166247903554;4.08248290463863;60.72341668033291
BRE01;full;4.69041575982343;4.43471156521669;4.69041575982343;84.69750094699765
BRE02;full;4.69041575982343;4.69041575982343;4.69041575982343;89.66604708583958
BRE03;full;4.69041575982343;4.69041575982343;4.69041575982343;99.33780750550115
BRE04;full;5.0;4.69041575982343;5.0;94.91399615792534
BRE05;full;4.69041575982343;4.358898943540674;4.358898943540674;81.97763922761702
BRE06;full;4.358898943540674;3.0;3.366501646120693;78.70832230456955
BRE07;full;4.43471156521669;3.1091263510296048;3.366501646120693;76.3784437303266
BRE08;full;4.358898943540674;4.43471156521669;4.358898943540674;87.79141947441865
BRE09;full;4.69041575982343;4.69041575982343;4.358898943540674;90.7028114227999
BRE10;full;4.358898943540674;4.358898943540674;4.358898943540674;84.46892919884802
BRE11;full;3.872983346207417;4.08248290463863;3.872983346207417;76.9458684184321
BRE12;full;5.0;4.43471156521669;5.0;96.78154093971983
